1	1	34043171
2	1	32763382
3	1	26201839
4	1	17858888
5	1	14857515
6	1	14789772
7	1	14168601
8	1	14171155
9	1	13621015
10	1	13041722
11	1	12904538
12	1	12846550
13	1	12716052
14	1	12659735
15	1	12572064
16	1	12463469
17	1	12417530
18	1	12373252
19	1	12203911
20	1	11863123
21	1	11043877
22	1	10971242
23	1	10889337
24	1	10731864
25	1	10694127
26	1	10371112
27	1	10056752
28	1	9433975
29	1	9366115
30	1	9109249
31	1	9029877
32	1	8993086
33	1	8858058
34	1	8852937
35	1	8510491
36	1	8226895
37	1	8175631
38	1	8072367
39	1	8031547
40	1	7918917
41	1	7717807
42	1	7657949
43	1	7592934
44	1	7462649
45	1	7189000
46	1	7071330
47	1	6810500
48	1	6777714
49	1	6622542
50	1	6563399
51	1	6505794
52	1	6108349
